format_1,,format_2,Keyword 1,SV,Keyword 2,SV,VTT or SRT?,Already on HappyScribe?,URL
csv, to ,srt,convert csv to srt,10,csv to srt,10,x,No,https://www.happyscribe.com/subtitle-tools/convert-csv-to-srt
dfxp, to ,srt,convert dfxp to srt,,dfxp to srt,10,x,No,https://www.happyscribe.com/subtitle-tools/convert-dfxp-to-srt
idx, to ,srt,convert idx to srt,,idx to srt,10,x,No,https://www.happyscribe.com/subtitle-tools/convert-idx-to-srt
itt, to ,srt,convert itt to srt,10,itt to srt,,x,No,https://www.happyscribe.com/subtitle-tools/convert-itt-to-srt
lrc, to ,srt,convert lrc to srt,,lrc to srt,10,x,No,https://www.happyscribe.com/subtitle-tools/convert-lrc-to-srt
pdf, to ,srt,convert pdf to srt,10,pdf to srt,60,x,No,https://www.happyscribe.com/subtitle-tools/convert-pdf-to-srt
pdf, to ,vtt,convert pdf to vtt,,pdf to vtt,10,x,No,https://www.happyscribe.com/subtitle-tools/convert-pdf-to-vtt
pgs, to ,srt,convert pgs to srt,10,pgs to srt,10,x,No,https://www.happyscribe.com/subtitle-tools/convert-pgs-to-srt
sbv, to ,srt,convert sbv to srt,40,sbv to srt,150,x,No,https://www.happyscribe.com/subtitle-tools/convert-sbv-to-srt
sbv, to ,vtt,convert sbv to vtt,10,sbv to vtt,30,x,No,https://www.happyscribe.com/subtitle-tools/convert-sbv-to-vtt
scc, to ,srt,convert scc to srt,20,scc to srt,30,x,No,https://www.happyscribe.com/subtitle-tools/convert-scc-to-srt
scc, to ,vtt,convert scc to vtt,10,scc to srt,10,x,No,https://www.happyscribe.com/subtitle-tools/convert-scc-to-vtt
smi, to ,srt,convert smi to srt,60,smi to srt,60,x,No,https://www.happyscribe.com/subtitle-tools/convert-smi-to-srt
srt, to ,dfxp,convert srt to dfxp,,srt to dfxp,20,x,No,https://www.happyscribe.com/subtitle-tools/convert-srt-to-dfxp
srt, to ,idx,convert srt to idx,,srt to idx,10,x,No,https://www.happyscribe.com/subtitle-tools/convert-srt-to-idx
srt, to ,lrc,convert srt to lrc,,srt to lrc,20,x,No,https://www.happyscribe.com/subtitle-tools/convert-srt-to-lrc
srt, to ,smi,convert srt to smi,,srt to smi,30,x,No,https://www.happyscribe.com/subtitle-tools/convert-srt-to-smi
srt, to ,ssa,convert srt to ssa,10,srt to ssa,10,x,No,https://www.happyscribe.com/subtitle-tools/convert-srt-to-ssa
srt, to ,stl,convert srt to stl,10,srt to stl,,x,No,https://www.happyscribe.com/subtitle-tools/convert-srt-to-stl
srt, to ,ttml,convert srt to ttml,,srt to ttml,10,x,No,https://www.happyscribe.com/subtitle-tools/convert-srt-to-ttml
srt, to ,webvtt,convert srt to webvtt,20,srt to webvtt,60,x,No,https://www.happyscribe.com/subtitle-tools/convert-srt-to-webvtt
srt, to ,xml,convert srt to xml,,srt to xml,10,x,No,https://www.happyscribe.com/subtitle-tools/convert-srt-to-xml
ssa, to ,srt,convert ssa to srt,10,ssa to srt,20,x,No,https://www.happyscribe.com/subtitle-tools/convert-ssa-to-srt
stl, to ,srt,convert stl to srt,10,stl to srt,10,x,No,https://www.happyscribe.com/subtitle-tools/convert-stl-to-srt
sub, to ,srt,convert sub to srt,10,sub to srt,40,x,No,https://www.happyscribe.com/subtitle-tools/convert-sub-to-srt
sup, to ,srt,convert sup to srt,40,sup to srt,100,x,No,https://www.happyscribe.com/subtitle-tools/convert-sup-to-srt
ttml, to ,srt,convert ttml to srt,10,ttml to srt,40,x,No,https://www.happyscribe.com/subtitle-tools/convert-ttml-to-srt
txt, to ,srt,convert txt to srt,200,txt to srt,400,x,No,https://www.happyscribe.com/subtitle-tools/convert-txt-to-srt
txt, to ,vtt,convert txt to vtt,40,txt to vtt,80,x,No,https://www.happyscribe.com/subtitle-tools/convert-txt-to-vtt
vtt, to ,lrc,convert vtt to lrc,,vtt to lrc,10,x,No,https://www.happyscribe.com/subtitle-tools/convert-vtt-to-lrc
vtt, to ,srt,convert vtt to srt,350,vtt to srt,800,x,No,https://www.happyscribe.com/subtitle-tools/convert-vtt-to-srt
vtt, to ,word,convert vtt to word,90,vtt to word,150,x,No,https://www.happyscribe.com/subtitle-tools/convert-vtt-to-word
webvtt, to ,srt,convert webvtt to srt,10,webvtt to srt,40,x,No,https://www.happyscribe.com/subtitle-tools/convert-webvtt-to-srt
word, to ,srt,convert word to srt,20,word to srt,40,x,No,https://www.happyscribe.com/subtitle-tools/convert-word-to-srt
word, to ,vtt,convert word to vtt,20,word to vtt,10,x,No,https://www.happyscribe.com/subtitle-tools/convert-word-to-vtt
xml, to ,srt,convert xml to srt,,xml to srt,10,x,No,https://www.happyscribe.com/subtitle-tools/convert-xml-to-srt
doc, to ,srt,convert doc to srt,10,doc to srt,20,x,Word?,https://www.happyscribe.com/subtitle-tools/convert-doc-to-srt
doc, to ,vtt,convert doc to vtt,,doc to vtt,10,x,Word?,https://www.happyscribe.com/subtitle-tools/convert-doc-to-vtt
docx, to ,srt,convert docx to srt,10,docx to srt,30,x,Word?,https://www.happyscribe.com/subtitle-tools/convert-docx-to-srt
docx, to ,vtt,convert docx to vtt,10,docx to vtt,10,x,Word?,https://www.happyscribe.com/subtitle-tools/convert-docx-to-vtt
srt, to ,doc,convert srt to doc,10,srt to doc,30,x,Word?,https://www.happyscribe.com/subtitle-tools/convert-srt-to-doc
srt, to ,docx,convert srt to docx,10,srt to docx,20,x,Word?,https://www.happyscribe.com/subtitle-tools/convert-srt-to-docx
vtt, to ,doc,convert vtt to doc,10,vtt to doc,40,x,Word?,https://www.happyscribe.com/subtitle-tools/convert-vtt-to-doc
vtt, to ,docx,convert vtt to docx,10,vtt to docx,50,x,Word?,https://www.happyscribe.com/subtitle-tools/convert-vtt-to-docx
srt, to ,pdf,convert srt to pdf,50,srt to pdf,150,x,Yes,https://www.happyscribe.com/subtitle-tools/convert-srt-to-pdf
srt, to ,txt,convert srt to txt,150,srt to txt,500,x,Yes,https://www.happyscribe.com/subtitle-tools/convert-srt-to-txt
srt, to ,vtt,convert srt to vtt,400,srt to vtt,800,x,Yes,https://www.happyscribe.com/subtitle-tools/convert-srt-to-vtt
srt, to ,word,convert srt to word,30,srt to word,100,x,Yes,https://www.happyscribe.com/subtitle-tools/convert-srt-to-word
vtt, to ,pdf,convert vtt to pdf,30,vtt to pdf,150,x,Yes,https://www.happyscribe.com/subtitle-tools/convert-vtt-to-pdf
vtt, to ,txt,convert vtt to txt,100,vtt to txt,250,x,Yes,https://www.happyscribe.com/subtitle-tools/convert-vtt-to-txt
pdf, to ,stl,convert pdf to stl,60,pdf to stl,200,,,https://www.happyscribe.com/subtitle-tools/convert-pdf-to-stl
stl, to ,pdf,convert stl to pdf,20,stl to pdf,90,,,https://www.happyscribe.com/subtitle-tools/convert-stl-to-pdf
srt, to ,scc,convert srt to scc,70,srt to scc,80,,,https://www.happyscribe.com/subtitle-tools/convert-srt-to-scc
txt, to ,stl,convert txt to stl,,txt to stl,30,,,https://www.happyscribe.com/subtitle-tools/convert-txt-to-stl
sbv, to ,txt,convert sbv to txt,,sbv to txt,20,,,https://www.happyscribe.com/subtitle-tools/convert-sbv-to-txt
csv, to ,stl,convert csv to stl,,csv to stl,10,,,https://www.happyscribe.com/subtitle-tools/convert-csv-to-stl
sbv, to ,pdf,convert sbv to pdf,,sbv to pdf,10,,,https://www.happyscribe.com/subtitle-tools/convert-sbv-to-pdf
stl, to ,txt,convert stl to txt,,stl to txt,10,,,https://www.happyscribe.com/subtitle-tools/convert-stl-to-txt
xml, to ,stl,convert xml to stl,,xml to stl,10,,,https://www.happyscribe.com/subtitle-tools/convert-xml-to-stl
ttml, to ,txt,convert ttml to txt,,ttml to txt,10,,,https://www.happyscribe.com/subtitle-tools/convert-ttml-to-txt
word, to ,stl,convert word to stl,,word to stl,10,,,https://www.happyscribe.com/subtitle-tools/convert-word-to-stl
csv, to ,qt,convert csv to qt,,csv to qt,,,,https://www.happyscribe.com/subtitle-tools/convert-csv-to-qt
csv, to ,sbv,convert csv to sbv,,csv to sbv,,,,https://www.happyscribe.com/subtitle-tools/convert-csv-to-sbv
csv, to ,smi,convert csv to smi,,csv to smi,,,,https://www.happyscribe.com/subtitle-tools/convert-csv-to-smi
csv, to ,dfxp,convert csv to dfxp,,csv to dfxp,,,,https://www.happyscribe.com/subtitle-tools/convert-csv-to-dfxp
csv, to ,rt,convert csv to rt,,csv to rt,,,,https://www.happyscribe.com/subtitle-tools/convert-csv-to-rt
csv, to ,scc,convert csv to scc,,csv to scc,,,,https://www.happyscribe.com/subtitle-tools/convert-csv-to-scc
csv, to ,ssa,convert csv to ssa,,csv to ssa,,,,https://www.happyscribe.com/subtitle-tools/convert-csv-to-ssa
csv, to ,sub,convert csv to sub,,csv to sub,,,,https://www.happyscribe.com/subtitle-tools/convert-csv-to-sub
csv, to ,ttml,convert csv to ttml,,csv to ttml,,,,https://www.happyscribe.com/subtitle-tools/convert-csv-to-ttml
csv, to ,vtt,convert csv to vtt,,csv to vtt,,,,https://www.happyscribe.com/subtitle-tools/convert-csv-to-vtt
csv, to ,lrc,convert csv to lrc,,csv to lrc,,,,https://www.happyscribe.com/subtitle-tools/convert-csv-to-lrc
csv, to ,sup,convert csv to sup,,csv to sup,,,,https://www.happyscribe.com/subtitle-tools/convert-csv-to-sup
csv, to ,itt,convert csv to itt,,csv to itt,,,,https://www.happyscribe.com/subtitle-tools/convert-csv-to-itt
csv, to ,webvtt,convert csv to webvtt,,csv to webvtt,,,,https://www.happyscribe.com/subtitle-tools/convert-csv-to-webvtt
csv, to ,idx,convert csv to idx,,csv to idx,,,,https://www.happyscribe.com/subtitle-tools/convert-csv-to-idx
csv, to ,rtmp,convert csv to rtmp,,csv to rtmp,,,,https://www.happyscribe.com/subtitle-tools/convert-csv-to-rtmp
csv, to ,pgs,convert csv to pgs,,csv to pgs,,,,https://www.happyscribe.com/subtitle-tools/convert-csv-to-pgs
qt, to ,csv,convert qt to csv,,qt to csv,,,,https://www.happyscribe.com/subtitle-tools/convert-qt-to-csv
qt, to ,sbv,convert qt to sbv,,qt to sbv,,,,https://www.happyscribe.com/subtitle-tools/convert-qt-to-sbv
qt, to ,srt,convert qt to srt,,qt to srt,,,,https://www.happyscribe.com/subtitle-tools/convert-qt-to-srt
qt, to ,stl,convert qt to stl,,qt to stl,,,,https://www.happyscribe.com/subtitle-tools/convert-qt-to-stl
qt, to ,smi,convert qt to smi,,qt to smi,,,,https://www.happyscribe.com/subtitle-tools/convert-qt-to-smi
qt, to ,txt,convert qt to txt,,qt to txt,,,,https://www.happyscribe.com/subtitle-tools/convert-qt-to-txt
qt, to ,xml,convert qt to xml,,qt to xml,,,,https://www.happyscribe.com/subtitle-tools/convert-qt-to-xml
qt, to ,dfxp,convert qt to dfxp,,qt to dfxp,,,,https://www.happyscribe.com/subtitle-tools/convert-qt-to-dfxp
qt, to ,rt,convert qt to rt,,qt to rt,,,,https://www.happyscribe.com/subtitle-tools/convert-qt-to-rt
qt, to ,scc,convert qt to scc,,qt to scc,,,,https://www.happyscribe.com/subtitle-tools/convert-qt-to-scc
qt, to ,ssa,convert qt to ssa,,qt to ssa,,,,https://www.happyscribe.com/subtitle-tools/convert-qt-to-ssa
qt, to ,sub,convert qt to sub,,qt to sub,,,,https://www.happyscribe.com/subtitle-tools/convert-qt-to-sub
qt, to ,ttml,convert qt to ttml,,qt to ttml,,,,https://www.happyscribe.com/subtitle-tools/convert-qt-to-ttml
qt, to ,vtt,convert qt to vtt,,qt to vtt,,,,https://www.happyscribe.com/subtitle-tools/convert-qt-to-vtt
qt, to ,lrc,convert qt to lrc,,qt to lrc,,,,https://www.happyscribe.com/subtitle-tools/convert-qt-to-lrc
qt, to ,word,convert qt to word,,qt to word,,,,https://www.happyscribe.com/subtitle-tools/convert-qt-to-word
